Service Area,Account Description,Creditor,Transaction Date,JV Reference,JV Date,JV Value
Childrens Services,Food Costs,ASDA HOME DELIVERY,18/04/2014,52,20/05/2014,15
Childrens Services,Food Costs,ASDA HOME DELIVERY,15/04/2014,50,20/05/2014,-6.9
Childrens Services,Food Costs,ASDA HOME DELIVERY,15/04/2014,49,20/05/2014,171.37
Childrens Services,Equipment and Materials Purcha,ASDA SUPERSTORE,03/04/2014,228,20/05/2014,32.86
Childrens Services,Food Costs,ASDA SUPERSTORE,01/05/2014,165,20/05/2014,37.6
Childrens Services,Cleaning and domestic material,ASDA SUPERSTORE,08/04/2014,42,20/05/2014,10
Childrens Services,Cleaning and domestic material,ASDA SUPERSTORE,10/04/2014,45,20/05/2014,18
Childrens Services,Food Costs,ASDA SUPERSTORE,14/04/2014,47,20/05/2014,16
Childrens Services,Food Costs,ASDA SUPERSTORE,10/04/2014,46,20/05/2014,13
Childrens Services,Food Costs,ASDA SUPERSTORE,08/04/2014,43,20/05/2014,274.09
Childrens Services,Food Costs,ASDA SUPERSTORE,07/04/2014,39,20/05/2014,32.1
Childrens Services,Equipment and Materials Purcha,ASDA SUPERSTORE,29/04/2014,221,20/05/2014,8.19
Childrens Services,Stationery,ASDA SUPERSTORE,25/04/2014,264,20/05/2014,10
Childrens Services,Books-CDs-Audio-Video,Amazon *Mktplce EU-,02/04/2014,197,20/05/2014,59.97
Childrens Services,Books-CDs-Audio-Video,Amazon *Mktplce EU-,08/04/2014,202,20/05/2014,130.2
Childrens Services,Books-CDs-Audio-Video,Amazon *Mktplce EU-,15/04/2014,205,20/05/2014,297.89
Control Accounts,Other Transfer Payments to Soc,Amazon *Mktplce EU-,03/04/2014,95,20/05/2014,4.15
Control Accounts,Other Transfer Payments to Soc,Amazon *Mktplce EU-,07/04/2014,101,20/05/2014,83.31
Control Accounts,Other Transfer Payments to Soc,Amazon *Mktplce EU-,04/04/2014,99,20/05/2014,3.06
Control Accounts,Other Transfer Payments to Soc,Amazon *Mktplce EU-,03/04/2014,96,20/05/2014,10.99
Control Accounts,Other Transfer Payments to Soc,Amazon *Mktplce EU-,04/04/2014,98,20/05/2014,5.28
Control Accounts,Other Transfer Payments to Soc,Amazon *Mktplce EU-,04/04/2014,100,20/05/2014,3.99
Control Accounts,Other Transfer Payments to Soc,Amazon *Mktplce EU-,03/04/2014,97,20/05/2014,15.99
Childrens Services,Books-CDs-Audio-Video,Amazon *Mktplce EU-,04/04/2014,246,20/05/2014,69.44
Childrens Services,Equipment and Materials Purcha,Amazon EU,11/04/2014,172,20/05/2014,16.09
Childrens Services,Stationery,Amazon EU,24/04/2014,87,20/05/2014,32.94
Childrens Services,Books-CDs-Audio-Video,Amazon EU,11/04/2014,66,20/05/2014,24.22
Childrens Services,Books-CDs-Audio-Video,Amazon EU,14/04/2014,67,20/05/2014,22.93
Childrens Services,Books-CDs-Audio-Video,Amazon EU,28/04/2014,69,20/05/2014,21.98
Childrens Services,Stationery,Amazon EU,04/04/2014,230,20/05/2014,13.56
Childrens Services,Equipment and Materials Purcha,Amazon EU,02/04/2014,199,20/05/2014,16.54
Childrens Services,Equipment and Materials Purcha,Amazon EU,02/04/2014,198,20/05/2014,16.54
Childrens Services,Equipment and Materials Purcha,Amazon EU,09/04/2014,203,20/05/2014,139.93
Childrens Services,Equipment and Materials Purcha,Amazon EU,04/04/2014,247,20/05/2014,47.65
Childrens Services,Stationery,Amazon EU,24/04/2014,86,20/05/2014,32.95
Childrens Services,Equipment and Materials Purcha,Amazon Mktplce EU-U,24/04/2014,274,20/05/2014,36.75
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,25/04/2014,68,20/05/2014,5.98
Childrens Services,Equipment and Materials Purcha,Amazon Mktplce EU-U,28/04/2014,37,20/05/2014,195.98
Street Scene,Books-CDs-Audio-Video,Amazon Mktplce EU-U,21/04/2014,4,20/05/2014,63.72
Street Scene,Books-CDs-Audio-Video,Amazon Mktplce EU-U,16/04/2014,2,20/05/2014,11.98
Street Scene,Books-CDs-Audio-Video,Amazon Mktplce EU-U,01/05/2014,5,20/05/2014,4.2
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,22/04/2014,255,20/05/2014,4.4
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,24/04/2014,257,20/05/2014,6.89
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,18/04/2014,250,20/05/2014,184.98
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,18/04/2014,251,20/05/2014,2.45
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,18/04/2014,252,20/05/2014,18.99
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,18/04/2014,253,20/05/2014,14.91
Childrens Services,Books-CDs-Audio-Video,Amazon Mktplce EU-U,21/04/2014,254,20/05/2014,10
Childrens Services,Equipment and Materials Purcha,Amazon Mktplce EU-U,18/04/2014,81,20/05/2014,19.96
Childrens Services,Equipment and Materials Purcha,Amazon Mktplce EU-U,24/04/2014,85,20/05/2014,30.72
Childrens Services,Equipment and Materials Purcha,Amazon Mktplce EU-U,18/04/2014,82,20/05/2014,11.98
Childrens Services,Equipment and Materials Purcha,B&Q,07/04/2014,305,20/05/2014,5.82
Childrens Services,Equipment and Materials Purcha,B&Q,07/04/2014,303,20/05/2014,1.9
Childrens Services,Building Repairs & Maintenance,BARNET ELECTRICAL,23/04/2014,133,20/05/2014,34.33
Childrens Services,Equipment and Materials Purcha,BARTLETTS KEY SERVI,14/04/2014,296,20/05/2014,96.78
Childrens Services,Equipment and Materials Purcha,BARTLETTS KEY SERVI,01/05/2014,92,20/05/2014,11.43
Governance,Other Services,BETTER LIFE HEALTH,24/04/2014,286,20/05/2014,"6,388.20"
Governance,Other Services,BETTER LIFE HEALTH,24/04/2014,287,20/05/2014,"6,388.20"
Childrens Services,Miscellaneous Expenses,BILLETTO.CO.UK,24/04/2014,177,20/05/2014,50.36
Deputy Chief Operating Officer,Cleaning and domestic material,BLAKES DRY CLEANER,23/04/2014,109,20/05/2014,10
Childrens Services,Food Costs,BP BYRON F/STN,25/04/2014,74,20/05/2014,7.19
Childrens Services,Building Repairs & Maintenance,BQ,24/04/2014,354,20/05/2014,7.07
Childrens Services,Building Repairs & Maintenance,BQ,24/04/2014,348,20/05/2014,14.98
Childrens Services,Building Repairs & Maintenance,BQ,24/04/2014,350,20/05/2014,14.99
Childrens Services,Building Repairs & Maintenance,BQ,24/04/2014,352,20/05/2014,14.99
Childrens Services,Equipment and Materials Purcha,BQ,29/04/2014,362,20/05/2014,4.15
Childrens Services,Equipment and Materials Purcha,BQ,29/04/2014,364,20/05/2014,3.32
Childrens Services,Equipment and Materials Purcha,BQ,29/04/2014,366,20/05/2014,3.32
Childrens Services,Equipment and Materials Purcha,BQ,29/04/2014,368,20/05/2014,3.32
Childrens Services,Equipment and Materials Purcha,BQ,29/04/2014,360,20/05/2014,2.48
Childrens Services,Equipment and Materials Purcha,BQ,29/04/2014,372,20/05/2014,4.17
Childrens Services,Equipment and Materials Purcha,BQ,29/04/2014,374,20/05/2014,4.17
Childrens Services,Equipment and Materials Purcha,BQ,29/04/2014,370,20/05/2014,3.32
Childrens Services,Equipment and Materials Purcha,BQ,29/04/2014,358,20/05/2014,2.48
Childrens Services,Food Costs,BT BILL PAYMENT 1,15/04/2014,382,20/05/2014,80.15
Childrens Services,Private Contractors - Third Pa,CHICKEN SHED THEATR,17/04/2014,194,20/05/2014,600
Childrens Services,Other Services,CIVIL REGISTRATION,30/04/2014,191,20/05/2014,34.79
Childrens Services,Equipment and Materials Purcha,CO-OP GROUP,07/04/2014,180,20/05/2014,39.51
Childrens Services,Building Repairs & Maintenance,COOPERS OF BARNET,23/04/2014,346,20/05/2014,9.48
Childrens Services,Food Costs,COSTCO ON-LINE,08/04/2014,233,20/05/2014,24
Childrens Services,Equipment and Materials Purcha,CURRYS,10/04/2014,131,20/05/2014,16.66
Childrens Services,Equipment and Materials Purcha,CURRYS,10/04/2014,121,20/05/2014,29.16
Childrens Services,Equipment and Materials Purcha,CURRYS,10/04/2014,123,20/05/2014,16.66
Childrens Services,Equipment and Materials Purcha,CURRYS,10/04/2014,125,20/05/2014,4.15
Childrens Services,Equipment and Materials Purcha,CURRYS,10/04/2014,127,20/05/2014,16.66
Childrens Services,Equipment and Materials Purcha,CURRYS,10/04/2014,129,20/05/2014,16.66
Childrens Services,Travelling Expenses,STUDEN PHOTOCARD,02/04/2014,38,20/05/2014,10
Childrens Services,Training,DOD`S PARLIAMENTARY,09/04/2014,386,20/05/2014,500
Childrens Services,Training,DOD`S PARLIAMENTARY,09/04/2014,387,20/05/2014,190
Childrens Services,Food Costs,DOMINOS PIZZA (BARN,28/04/2014,179,20/05/2014,44.97
Street Scene,Legal and Court Fees,ENVIROMENT AGENCY,11/04/2014,1,20/05/2014,100
Childrens Services,Subscriptions,FILMBANK PVSL ACC,29/04/2014,89,20/05/2014,56
Childrens Services,Subscriptions,FILMBANK PVSL ACC,29/04/2014,88,20/05/2014,56
Deputy Chief Operating Officer,Travelling Expenses,FIRST CAPITAL CONN,28/04/2014,110,20/05/2014,10
Childrens Services,Equipment and Materials Purcha,GLOTECH,28/04/2014,356,20/05/2014,14
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,01/05/2014,281,20/05/2014,93.6
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,01/05/2014,277,20/05/2014,70.2
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,16/04/2014,280,20/05/2014,23.4
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,16/04/2014,279,20/05/2014,-23.4
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,07/04/2014,275,20/05/2014,23.4
Childrens Services,Miscellaneous Expenses,GRO HM PASSPORT OFF,15/04/2014,278,20/05/2014,70.2
Childrens Services,Food Costs,H'VESTER ARNOS ARM,15/04/2014,174,20/05/2014,25.16
Childrens Services,Training,HCC-CASHIERS,24/04/2014,256,20/05/2014,349.73
Childrens Services,Equipment and Materials Purcha,HOBBYCRAFT,29/04/2014,220,20/05/2014,11.79
Childrens Services,Other Services,HOLLYWOODBOWL.CO.U,14/04/2014,104,20/05/2014,34.49
Childrens Services,Equipment and Materials Purcha,HOMEBASE LTD 588,30/04/2014,164,20/05/2014,34.99
Childrens Services,Building Repairs & Maintenance,HOMEBASE LTD 24,23/04/2014,347,20/05/2014,23.72
Childrens Services,Equipment and Materials Purcha,HOMEBASE LTD 24,17/04/2014,342,20/05/2014,35.38
Childrens Services,Equipment and Materials Purcha,HOMEBASE LTD 24,17/04/2014,343,20/05/2014,44.6
Childrens Services,Equipment and Materials Purcha,HOMEBASE LTD 24,29/04/2014,357,20/05/2014,94.99
Childrens Services,Equipment and Materials Purcha,HOMEBASE LTD 24,04/04/2014,301,20/05/2014,44.11
Childrens Services,Equipment and Materials Purcha,HOMEBASE LTD 57,14/04/2014,149,20/05/2014,31.49
Childrens Services,Equipment and Materials Purcha,HOMEBASE LTD 57,14/04/2014,148,20/05/2014,34.99
Childrens Services,Equipment and Materials Purcha,HOMEBASE LTD 8,23/04/2014,151,20/05/2014,3.58
Childrens Services,Equipment and Materials Purcha,HOMEBASE LTD 8,23/04/2014,150,20/05/2014,3.98
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,29,20/05/2014,22.5
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,31,20/05/2014,11.48
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,33,20/05/2014,16.8
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,19,20/05/2014,15.75
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,17,20/05/2014,18.3
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,15,20/05/2014,15.75
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,13,20/05/2014,15
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,23,20/05/2014,9.45
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,21,20/05/2014,9.45
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,35,20/05/2014,8.1
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,25,20/05/2014,15
Childrens Services,Building Repairs & Maintenance,HOWDEN JOINERY SOUT,23/04/2014,27,20/05/2014,34.2
Childrens Services,Subscriptions,HTTP://SHOP.ICAN.OR,18/04/2014,244,20/05/2014,60
Childrens Services,Equipment and Materials Purcha,IKEA,08/04/2014,294,20/05/2014,50
Public Health,Equipment and Materials Purcha,INSPIRED FRAMES,25/04/2014,105,20/05/2014,10.95
Childrens Services,Other Transfer Payments to Soc,IRCAS,23/04/2014,58,20/05/2014,55.25
Childrens Services,Other Transfer Payments to Soc,IRCAS,23/04/2014,57,20/05/2014,55.25
Childrens Services,Other Transfer Payments to Soc,IRCAS,23/04/2014,59,20/05/2014,55.25
Childrens Services,Books-CDs-Audio-Video,JOHN CATT EDUC,02/04/2014,271,20/05/2014,350
Childrens Services,Food Costs,JS ONLINE GROCERY,09/04/2014,78,20/05/2014,72.88
Childrens Services,Food Costs,JS ONLINE GROCERY,23/04/2014,84,20/05/2014,30
Childrens Services,Food Costs,JS ONLINE GROCERY,29/04/2014,91,20/05/2014,30
Childrens Services,Cleaning and domestic material,JS ONLINE GROCERY,22/04/2014,239,20/05/2014,21.8
Childrens Services,Food Costs,JS ONLINE GROCERY,22/04/2014,238,20/05/2014,156.82
Childrens Services,Equipment and Materials Purcha,JS ONLINE GROCERY,03/04/2014,245,20/05/2014,127.38
Childrens Services,Equipment and Materials Purcha,JS ONLINE GROCERY,15/04/2014,260,20/05/2014,112.69
Childrens Services,Equipment and Materials Purcha,JS ONLINE GROCERY,08/04/2014,249,20/05/2014,217.8
Childrens Services,Food Costs,JS ONLINE GROCERY,23/04/2014,261,20/05/2014,131.71
Childrens Services,Food Costs,JS ONLINE GROCERY,23/04/2014,262,20/05/2014,-1.95
Childrens Services,Food Costs,JS ONLINE GROCERY,29/04/2014,265,20/05/2014,174.63
Childrens Services,Food Costs,JS ONLINE GROCERY,23/04/2014,83,20/05/2014,77.57
Childrens Services,Food Costs,JS ONLINE GROCERY,29/04/2014,90,20/05/2014,243.97
Deputy Chief Operating Officer,Equipment and Materials Purcha,KAGI 1-51-42-5858,25/04/2014,155,20/05/2014,31.66
Childrens Services,Equipment and Materials Purcha,KEN BOWMAN SON,30/04/2014,376,20/05/2014,16
Adults and Communities,Subsistence,KING SOLOMON HOTEL,11/04/2014,288,20/05/2014,256
Childrens Services,Miscellaneous Expenses,L B ISLINGTON,30/04/2014,276,20/05/2014,33
Childrens Services,Building Repairs & Maintenance,LAWSONS EDGWARE,15/04/2014,79,20/05/2014,25.41
Childrens Services,Building Repairs & Maintenance,LAWSONS EDGWARE,15/04/2014,80,20/05/2014,25.41
Childrens Services,Miscellaneous Expenses,LB BRENT REGISTRARS,01/05/2014,282,20/05/2014,30
Internal Audit & CAFT,Legal and Court Fees,LBB CIVIC CENTRE PA,10/04/2014,184,20/05/2014,4
Childrens Services,Legal and Court Fees,LBBARNET PAYENET,07/04/2014,225,20/05/2014,9.16
Childrens Services,Legal and Court Fees,LBBARNET PAYENET,04/04/2014,224,20/05/2014,67.19
Childrens Services,Travelling Expenses,LUL TICKET OFFICE.,28/04/2014,169,20/05/2014,15.4
Childrens Services,Travelling Expenses,LUL TICKET OFFICE.,28/04/2014,170,20/05/2014,7.7
Childrens Services,Food Costs,M & D GRODZINSKI LT,14/04/2014,9,20/05/2014,286.43
Childrens Services,Food Costs,M & D GRODZINSKI LT,03/04/2014,8,20/05/2014,186.19
Childrens Services,Food Costs,M & D GRODZINSKI LT,14/04/2014,10,20/05/2014,192.38
Childrens Services,Books-CDs-Audio-Video,MACMILLAN BOOK SALE,30/04/2014,103,20/05/2014,29.73
Childrens Services,Consumable Catering Supplies,MARHABA,07/04/2014,116,20/05/2014,23.84
Childrens Services,Equipment and Materials Purcha,MARKS SPENCER,18/04/2014,76,20/05/2014,64.41
Childrens Services,Food Costs,MCDONALDS REST,22/04/2014,188,20/05/2014,9.38
Deputy Chief Operating Officer,Other Indirect Employee Expens,MIDDLESEX UNIVERSIT,09/04/2014,107,20/05/2014,5.78
Childrens Services,Travelling Expenses,MMS NEWSAGENTS,16/04/2014,175,20/05/2014,20
Childrens Services,Food Costs,NALSA LIMITED,11/04/2014,157,20/05/2014,10.88
Childrens Services,Food Costs,NANDOS,18/04/2014,176,20/05/2014,19.95
Childrens Services,Private Contractors - Third Pa,NORTH LONDON CATER,03/04/2014,114,20/05/2014,22.06
Childrens Services,Legal and Court Fees,OFSTED MOTO,16/04/2014,72,20/05/2014,220
Childrens Services,Equipment and Materials Purcha,OTICON LTD,24/04/2014,217,20/05/2014,64.87
Childrens Services,Travelling Expenses,OYSTER AUTOTOPUP,28/04/2014,142,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER AUTOTOPUP,14/04/2014,141,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/04/2014,193,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,10/04/2014,139,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/04/2014,140,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,07/04/2014,137,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,01/05/2014,270,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,28/04/2014,152,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,08/04/2014,266,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,29/04/2014,223,20/05/2014,20
Adults and Communities,Travelling Expenses,OYSTER BUS AUTOTOP,14/04/2014,144,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,28/04/2014,219,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER BUS AUTOTOP,07/04/2014,218,20/05/2014,20
Childrens Services,Travelling Expenses,OYSTER ISSUE WEB,24/04/2014,269,20/05/2014,25
Childrens Services,Books-CDs-Audio-Video,PARTICIPATION,04/04/2014,75,20/05/2014,25.79
Childrens Services,Other Transfer Payments to Soc,PAYPAL *PURETEC,07/04/2014,41,20/05/2014,83.98
Childrens Services,Other Transfer Payments to Soc,PAYPAL *RDX INC,07/04/2014,40,20/05/2014,22.99
Childrens Services,Equipment and Materials Purcha,PHOENIX ROSE,07/04/2014,302,20/05/2014,33.42
Childrens Services,Equipment and Materials Purcha,PHONAK GROUP LTD,09/04/2014,209,20/05/2014,48
Deputy Chief Operating Officer,Subsistence,PINE RIDGE GOLF,11/04/2014,108,20/05/2014,8.24
Adults and Communities,Subsistence,PREMIER INN,30/04/2014,289,20/05/2014,815.5
Adults and Communities,Subsistence,PREMIER INN,30/04/2014,290,20/05/2014,815.5
Childrens Services,Equipment and Materials Purcha,RADIANT MEDICARE L,28/04/2014,222,20/05/2014,5.06
Childrens Services,Consumable Catering Supplies,REYNARDS UK LTD,14/04/2014,11,20/05/2014,387.79
Childrens Services,Equipment and Materials Purcha,ROBERT DYAS 31,07/04/2014,156,20/05/2014,14.9
Childrens Services,Equipment and Materials Purcha,ROBERT DYAS 34,01/05/2014,143,20/05/2014,24.99
Childrens Services,Stationery,RYMAN 1169,18/04/2014,51,20/05/2014,4.37
Childrens Services,Cleaning and domestic material,SAINSBURY'S S/MKT,08/04/2014,235,20/05/2014,25.88
Childrens Services,Cleaning and domestic material,SAINSBURY'S S/MKT,14/04/2014,159,20/05/2014,11.6
Childrens Services,Cleaning and domestic material,SAINSBURY'S S/MKT,07/04/2014,232,20/05/2014,23.35
Childrens Services,Food Costs,SAINSBURY'S S/MKT,10/04/2014,237,20/05/2014,23.73
Childrens Services,Food Costs,SAINSBURY'S S/MKT,14/04/2014,158,20/05/2014,134.97
Childrens Services,Food Costs,SAINSBURY'S S/MKT,07/04/2014,231,20/05/2014,149.65
Childrens Services,Food Costs,SAINSBURY'S S/MKT,08/04/2014,234,20/05/2014,156.25
Childrens Services,Postage,SAINSBURY'S S/MKT,08/04/2014,236,20/05/2014,8.76
Childrens Services,Equipment and Materials Purcha,SAINSBURY'S S/MKT,03/04/2014,113,20/05/2014,115.15
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,29/04/2014,94,20/05/2014,18.3
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,28/04/2014,242,20/05/2014,25.44
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,16/04/2014,340,20/05/2014,32.05
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,29/04/2014,163,20/05/2014,35
Childrens Services,Cleaning and domestic material,SAINSBURYS S/MKT,18/04/2014,161,20/05/2014,20.1
Childrens Services,Food Costs,SAINSBURYS S/MKT,28/04/2014,241,20/05/2014,136.44
Childrens Services,Food Costs,SAINSBURYS S/MKT,25/04/2014,240,20/05/2014,30.02
Childrens Services,Food Costs,SAINSBURYS S/MKT,16/04/2014,339,20/05/2014,134.45
Childrens Services,Food Costs,SAINSBURYS S/MKT,29/04/2014,162,20/05/2014,118.45
Childrens Services,Food Costs,SAINSBURYS S/MKT,18/04/2014,160,20/05/2014,160.39
Childrens Services,Food Costs,SAINSBURYS S/MKT,28/04/2014,62,20/05/2014,66.07
Childrens Services,Equipment and Materials Purcha,SAINSBURYS S/MKT,29/04/2014,136,20/05/2014,48.09
Childrens Services,Equipment and Materials Purcha,SAINSBURYS S/MKTS,01/05/2014,268,20/05/2014,19.99
Childrens Services,Food Costs,SAINSBURYS S/MKTS,07/04/2014,192,20/05/2014,5.54
Childrens Services,Food Costs,SAINSBURYS S/MKTS,18/04/2014,185,20/05/2014,4
Childrens Services,Food Costs,SAINSBURYS S/MKTS,24/04/2014,60,20/05/2014,13.72
Childrens Services,Equipment and Materials Purcha,SAINSBURYS S/MKTS,09/04/2014,120,20/05/2014,44.45
Childrens Services,Equipment and Materials Purcha,SAINSBURYS S/MKTS,24/04/2014,183,20/05/2014,33.76
Childrens Services,Equipment and Materials Purcha,SAINSBURYS S/MKTS,08/04/2014,248,20/05/2014,18
Childrens Services,Food Costs,SAINSBURYS S/MKTS,24/04/2014,263,20/05/2014,7.45
Childrens Services,Food Costs,SAINSBURYS SUPERMA,15/04/2014,167,20/05/2014,11.33
NSCSO,Private Contractors - Third Pa,SARACENS LTD,17/04/2014,285,20/05/2014,10
Childrens Services,Building Repairs & Maintenance,SCREWFIX,03/04/2014,299,20/05/2014,11.78
Childrens Services,Building Repairs & Maintenance,SCREWFIX BOREHAMWO,02/04/2014,196,20/05/2014,8.86
Childrens Services,Other Services,SKY SUBSCRIPTION,25/04/2014,61,20/05/2014,56
Childrens Services,Other Transfer Payments to Soc,SOUTH EASTERN,08/04/2014,44,20/05/2014,77.2
Childrens Services,Travelling Expenses,STUDEN PHOTOCARD,24/04/2014,284,20/05/2014,10
Childrens Services,Travelling Expenses,STUDEN PHOTOCARD,21/04/2014,181,20/05/2014,10
Childrens Services,Equipment and Materials Purcha,T & J FIRE LIMITED,02/04/2014,146,20/05/2014,90
Childrens Services,Equipment and Materials Purcha,T & J FIRE LIMITED,02/04/2014,147,20/05/2014,90
Childrens Services,Food Costs,TESCO STORE 2296,11/04/2014,379,20/05/2014,24.87
Childrens Services,Food Costs,TESCO STORE 2296,04/04/2014,229,20/05/2014,62.15
Childrens Services,Other Transfer Payments to Soc,TESCO STORE 2296,22/04/2014,187,20/05/2014,17
Childrens Services,Food Costs,TESCO STORE 2296,08/04/2014,293,20/05/2014,55.47
Childrens Services,Other Transfer Payments to Soc,TESCO STORE 2296,08/04/2014,292,20/05/2014,110
Childrens Services,Equipment and Materials Purcha,TESCO STORE 2296,08/04/2014,117,20/05/2014,44.78
Childrens Services,Equipment and Materials Purcha,TESCO STORE 2296,08/04/2014,118,20/05/2014,29.5
Childrens Services,Food Costs,TESCO STORE 2467,30/04/2014,65,20/05/2014,13
Childrens Services,Equipment and Materials Purcha,TESCO STORE 35,23/04/2014,135,20/05/2014,19
Childrens Services,Food Costs,TESCO STORE 3539,29/04/2014,385,20/05/2014,-4
Childrens Services,Food Costs,TESCO STORES 2296,14/04/2014,380,20/05/2014,45
Childrens Services,Food Costs,TESCO STORES 2296,21/04/2014,186,20/05/2014,8.48
Childrens Services,Equipment and Materials Purcha,TESCO STORES 2296,08/04/2014,119,20/05/2014,1.98
Childrens Services,Food Costs,TESCO STORES 2544,16/04/2014,295,20/05/2014,15.05
Childrens Services,Equipment and Materials Purcha,TESCO STORES 35,23/04/2014,134,20/05/2014,10.55
Childrens Services,Equipment and Materials Purcha,TESCO STORES 35,04/04/2014,115,20/05/2014,4
Childrens Services,Equipment and Materials Purcha,TESCO STORES 35,02/04/2014,112,20/05/2014,29.5
Childrens Services,Equipment and Materials Purcha,TESCO STORES 5655,16/04/2014,267,20/05/2014,4.99
Childrens Services,Food Costs,TESCO STORES 6412,11/04/2014,171,20/05/2014,27.29
Childrens Services,Food Costs,TESCO STORES 6412,28/04/2014,178,20/05/2014,16.63
